Age,Income,Customer_Type
70,78018,Basic
28,40166,Basic
41,88064,Regular
53,63140,Premium
42,22849,Silver
29,48661,Regular
51,89783,Silver
58,50489,Gold
40,50212,Premium
29,71437,Basic
70,119645,Gold
65,94422,Gold
33,111886,Regular
59,81802,Regular
60,48055,Basic
39,36592,Basic
66,99732,Silver
28,42723,VIP
68,49222,Basic
61,118869,Premium
63,41366,Gold
51,58798,Regular
45,23694,Gold
29,39562,VIP
70,84715,Gold
68,90994,Premium
45,29516,Regular
52,55570,Premium
55,49218,Gold
66,99750,VIP
45,90563,Basic
29,42256,VIP
60,100765,VIP
34,84034,VIP
41,66766,Premium
50,68583,Silver
64,69628,Regular
34,111118,VIP
18,70829,Gold
65,65176,Basic
24,29662,VIP
33,46867,Regular
62,115088,Gold
55,83268,Regular
31,58386,Premium
55,36240,Premium
60,112585,Premium
43,113875,Regular
50,30891,Premium
70,60815,Basic
19,32703,Premium
32,43699,Basic
31,95095,VIP
41,35397,Gold
24,24547,Silver
49,49763,Gold
70,57724,Premium
38,81849,Gold
20,48915,Gold
50,86275,Premium
33,30289,Basic
56,38557,Premium
64,25087,VIP
44,68877,VIP
25,114760,VIP
61,47616,VIP
64,36038,Silver
62,60626,Basic
54,108452,VIP
28,103596,Silver
41,58478,Regular
33,42221,Regular
24,76591,Basic
36,49126,Silver
35,61516,Regular
43,104921,Regular
62,22098,VIP
51,24904,Regular
69,72055,Basic
61,36485,Premium
40,109868,Regular
50,45804,Basic
23,83855,Basic
53,48101,Gold
24,106496,Gold
52,40958,Silver
24,38292,VIP
38,46323,Premium
43,85946,VIP
49,61832,Basic
69,81042,VIP
47,38466,Silver
68,87330,Gold
65,95254,Silver
40,33572,Premium
58,57663,Regular
31,43407,Gold
54,29390,Silver
33,38206,Premium
60,99432,Silver
23,35224,Basic
45,57489,Premium
66,50733,Silver
67,92167,Gold
38,102915,Premium
44,75216,Basic
19,88142,Silver
52,94729,Basic
64,114226,Premium
41,59257,Premium
27,100152,Basic
51,35005,Basic
31,59412,Regular
23,104029,Silver
19,35219,Premium
40,33572,VIP
49,64413,Silver
33,73559,VIP
35,56310,VIP
51,99018,Regular
66,81456,Regular
38,33720,VIP
45,81989,Premium
57,104958,Gold
53,65072,Silver
25,89987,Gold
22,80305,Premium
46,88109,Regular
31,86230,Silver
29,106882,Silver
60,58467,Regular
65,83876,Gold
24,25399,Premium
40,79752,VIP
20,22952,Silver
30,74426,Silver
22,80906,VIP
20,103580,Premium
34,26472,Regular
48,107488,Premium
63,100169,Basic
60,64106,Silver
27,78714,Basic
27,72826,Regular
19,21427,Basic
44,117758,Silver
66,99444,Regular
24,71013,Premium
63,36026,Gold
20,48707,Gold
20,115578,Silver
65,118143,Premium
26,106638,Silver
42,102544,Regular
24,112546,Gold
36,43638,Regular
49,84144,Gold
31,66226,Premium
20,62298,Gold
56,76731,Silver
41,42341,Basic
19,89721,Silver
52,48532,VIP
54,85557,VIP
32,67624,Premium
68,93998,Gold
60,102074,Regular
57,22267,VIP
34,80993,Basic
33,102475,Basic
66,110128,Silver
32,41317,VIP
20,70298,Premium
28,116476,Basic
70,20870,Basic
37,56810,VIP
61,61093,Premium
57,30670,Regular
49,67159,VIP
37,81934,Premium
21,103260,Regular
35,55607,Regular
34,28329,Gold
62,113229,Gold
69,68313,Gold
59,53230,Silver
59,64418,Premium
22,118749,Premium
58,37821,Silver
56,104222,Regular
70,34950,Regular
27,85664,Basic
64,49515,Silver
44,78957,Silver
46,58059,Premium
54,37006,Basic
44,111156,Regular
56,79668,Silver
53,61084,VIP
31,56471,Basic
66,36982,Basic
39,81049,Gold
49,57602,Gold
27,45202,Regular
45,23063,VIP
32,82338,Premium
20,114484,Regular
44,53895,Premium
69,92048,Premium
36,43183,VIP
48,47599,Silver
18,112351,Gold
61,62262,Silver
28,69896,Regular
22,99814,Regular
67,31142,Premium
54,76215,Silver
52,64793,Gold
64,41861,Silver
66,93689,Premium
47,71363,Silver
58,50562,Gold
26,98987,Premium
45,41187,Gold
25,82450,Premium
30,34579,VIP
54,33024,Regular
26,43486,Basic
62,82774,Silver
40,49129,Regular
49,100811,Gold
67,25937,VIP
35,61628,VIP
37,31465,Silver
30,81206,Gold
24,95002,VIP
50,91021,Premium
68,95563,Premium
52,72174,Silver
25,66966,Basic
61,44592,Silver
46,103819,Regular
58,44227,Regular
35,109495,Silver
56,37492,Regular
22,50706,Premium
29,118922,Premium
39,30451,Basic
69,60563,Silver
27,62808,VIP
64,98592,Premium
38,58977,Basic
52,87245,Regular
59,105322,Regular
68,75803,VIP
43,117375,Regular
48,30045,VIP
59,34078,Basic
31,37564,Basic
30,57666,VIP
26,46594,Premium
36,54371,Premium
40,93009,Premium
20,96564,Premium
20,112532,VIP
42,72985,Gold
60,69813,Gold
38,113978,Silver
36,71766,Silver
38,84383,Silver
29,58383,VIP
26,102669,Basic
33,115540,Basic
60,82539,Premium
34,81788,Regular
66,23028,Regular
55,116635,Gold
19,45544,Silver
64,56253,VIP
63,29221,Regular
38,85224,VIP
42,56844,Basic
54,38198,VIP
30,118722,Gold
38,111999,Premium
18,105412,Regular
53,39652,Gold
19,103584,Basic
50,50655,Gold
60,118816,Premium
28,118752,Silver
42,88826,Basic
21,74086,Regular
34,30667,Gold
59,42011,Basic
50,22296,Basic
38,92233,Silver
49,96624,Premium
25,31575,Gold
33,69792,Regular
50,41253,Premium
41,62609,VIP
26,106542,Silver
28,46455,Basic
40,119980,Premium
42,20465,Basic
65,81009,Gold
40,95919,VIP
20,77011,VIP
69,96914,Basic
70,21684,Gold
27,37112,Basic
45,105261,Basic
36,33436,Basic
50,85625,Silver
54,37136,Regular
38,105719,Gold
58,98954,VIP
26,46317,Regular
26,93460,Premium
18,36680,Gold
47,46973,Gold
28,24256,Basic
57,42524,Basic
62,73220,VIP
25,25016,Regular
22,59336,Silver
35,105865,Regular
36,71446,Regular
43,86306,VIP
22,79203,Regular
41,99701,Gold
43,84810,Gold
57,38462,Premium
61,42268,VIP
29,65785,Gold
35,105012,Regular
62,112626,Gold
36,82574,Silver
22,84867,Gold
25,65691,Gold
21,70268,VIP
46,30237,Premium
30,102973,Premium
60,28964,Regular
48,27432,Basic
51,71630,VIP
70,93642,Premium
54,24110,Regular
50,25020,Premium
46,43874,VIP
61,42292,Silver
64,95112,VIP
59,20862,Basic
68,83382,Silver
60,47215,Basic
53,58284,Gold
45,103423,Premium
64,59818,Gold
31,22590,Basic
34,82710,Silver
44,46667,VIP
28,96017,Gold
49,49200,Basic
33,92452,VIP
46,98374,Regular
20,74073,Regular
59,33357,VIP
49,64926,Premium
49,77894,Basic
69,81844,Gold
55,32460,VIP
35,77602,VIP
22,27085,Silver
35,50079,Regular
50,115836,Silver
48,81355,Premium
66,40201,Premium
40,78144,Basic
53,37447,Regular
40,28333,VIP
39,39984,Basic
55,84075,VIP
31,39378,Regular
22,53702,VIP
22,91553,Basic
43,67661,Premium
33,115699,Gold
28,42592,Basic
38,75091,Basic
34,113614,Silver
66,96718,Premium
19,68466,Silver
46,104618,Regular
70,97226,VIP
35,118110,VIP
35,112989,Regular
20,68623,Gold
18,102537,Basic
66,112306,Basic
69,28886,Premium
43,41607,Premium
32,38407,Silver
44,104922,VIP
43,37417,Premium
28,113404,VIP
28,110785,Silver
50,50226,Premium
39,26224,Regular
49,33015,Silver
38,33783,VIP
18,100722,Regular
65,67663,Gold
68,102386,Silver
22,39981,VIP
47,105311,VIP
33,72359,Premium
41,56625,Silver
18,118238,VIP
70,69928,Premium
48,83937,Premium
39,93567,Gold
20,81602,Silver
64,36345,Regular
23,33455,Regular
69,104598,Silver
60,30573,Silver
47,52242,Basic
40,26551,Basic
57,26161,Gold
51,68829,Basic
60,30595,Gold
65,87672,Regular
33,107256,Gold
39,97490,VIP
25,38169,Silver
59,37630,Silver
18,100734,Premium
46,97389,Gold
56,53421,Basic
28,119333,Gold
63,44363,VIP
60,37324,VIP
22,104916,Silver
33,50641,Basic
37,101997,Silver
55,107165,Premium
37,79783,Gold
45,44487,Silver
34,35951,VIP
70,73320,Premium
36,94879,Regular
56,101278,Basic
55,43926,VIP
67,38215,Regular
61,101887,Gold
58,27015,Gold
36,41110,Silver
43,81410,Premium
62,51914,Regular
51,42313,VIP
32,117966,Regular
60,76613,Silver
38,82840,Premium
38,72845,Basic
22,91358,VIP
47,22831,Silver
52,102355,Premium
67,28747,Premium
32,31255,Premium
49,81158,VIP
54,70436,Regular
24,109131,Silver
35,109387,Basic
61,101368,Gold
19,45534,Regular
65,55945,Regular
26,58417,Regular
20,104736,Premium
57,67725,Regular
54,69160,VIP
31,39913,Silver
34,62764,VIP
26,55899,VIP
27,66730,Silver
50,81029,Basic
63,88542,VIP
25,52744,Silver
41,95461,Basic
30,103319,Silver
62,37022,Regular
24,38866,VIP
68,114994,VIP
46,117728,VIP
66,88826,Silver
54,102138,Gold
60,55209,Premium
31,21518,VIP
39,80439,Silver
50,53956,Gold
53,47390,Silver
19,46415,Premium
28,114968,Gold
29,54374,VIP
22,79145,Basic
63,29723,Regular
33,80581,Gold
60,56497,VIP
46,112611,Silver
70,32346,Basic
50,102924,Regular
68,89153,VIP
44,23879,Silver
52,87232,Premium
65,47567,Premium
48,103556,Silver
52,80481,Silver
48,83639,Silver
45,72613,Basic
66,109678,Regular
26,99755,Regular
53,57365,Basic
40,54728,Basic
27,115738,Gold
47,119002,Regular
52,50450,VIP
68,34913,Regular
38,36414,Premium
19,49011,Basic
50,39903,Basic
40,61068,Regular
68,26502,VIP
49,96824,Silver
66,28399,Regular
48,90281,Silver
40,30671,Gold
46,32426,Silver
46,105823,Silver
20,24087,Premium
62,32024,Premium
57,78679,Premium
37,79344,Premium
50,48721,VIP
27,50621,Silver
57,100591,Gold
35,21219,Regular
63,68435,VIP
48,32941,Gold
44,50533,Regular
25,81244,VIP
32,116202,Gold
27,38535,Silver
33,100242,Basic
65,59060,Regular
41,86831,Gold
66,73923,Regular
47,97562,Regular
35,69034,Premium
58,31853,Basic
54,105434,Regular
48,69428,Premium
24,113293,Basic
54,94696,Gold
58,30878,Premium
27,49068,Gold
60,110731,Basic
70,24549,Gold
25,44159,Regular
28,85238,VIP
65,31020,Basic
52,85874,Silver
28,110640,VIP
29,63315,Regular
59,99330,VIP
45,35006,Regular
29,68874,VIP
65,68557,Regular
67,74324,Regular
33,69356,Regular
70,46129,VIP
70,65178,Silver
61,70381,VIP
68,95428,VIP
49,118856,Regular
53,113304,Premium
62,110827,VIP
42,112457,VIP
28,91837,Premium
65,57009,Gold
64,67925,Regular
32,107134,Silver
45,88338,Premium
54,99139,Premium
43,27329,Gold
20,103724,Basic
21,31967,Gold
43,83918,Basic
22,33503,Regular
65,34463,Basic
66,83631,Gold
23,85917,Gold
68,58888,Gold
47,54034,Basic
65,83296,Basic
47,86360,Premium
40,112719,Regular
69,51200,Gold
58,38576,Silver
63,28948,Silver
38,20593,Regular
57,73603,Silver
51,43034,Silver
30,81831,Silver
66,28476,Basic
42,68105,Silver
36,73117,Gold
49,39436,Basic
32,37476,VIP
54,31640,Silver
38,91514,Basic
18,117609,Premium
32,105521,Premium
67,57106,Premium
38,107956,Silver
21,46146,Basic
57,61578,VIP
27,115806,VIP
33,37893,Regular
21,103156,Regular
54,55114,Regular
25,94690,Basic
54,62185,VIP
70,30868,Basic
49,55810,Silver
63,102637,Regular
69,94065,Gold
29,96538,Basic
34,104490,Basic
64,63796,Regular
36,20845,VIP
52,55308,VIP
69,99693,Silver
67,55146,VIP
21,46515,Silver
34,21261,Gold
44,88165,VIP
66,81423,Regular
70,108919,Gold
18,86813,Basic
24,93762,Premium
41,78473,Regular
41,74092,Gold
25,83374,Premium
28,48064,Basic
20,53949,Silver
52,100245,Premium
69,102546,Regular
53,77653,Regular
53,110973,Silver
49,107450,Gold
52,64401,Gold
69,23116,Regular
51,37611,Basic
68,81560,Regular
65,50855,VIP
39,30165,Gold
39,86493,VIP
22,92749,Premium
30,86621,VIP
44,87737,Basic
21,105354,VIP
35,72587,VIP
33,54220,VIP
43,69428,Premium
60,119243,Basic
69,58597,Silver
67,59464,Basic
45,36721,VIP
59,76461,Regular
34,30261,Regular
18,98942,Silver
69,56986,Regular
70,31905,Basic
45,44883,Premium
26,58655,Regular
40,26799,Basic
37,63445,Silver
63,37653,Gold
54,47022,Regular
64,30756,Premium
69,36474,Regular
66,43631,Regular
21,36545,Silver
50,26104,Silver
52,83867,Basic
28,109409,Silver
28,77712,Premium
21,73316,Basic
66,100904,Regular
58,42951,Basic
69,49889,VIP
25,44680,Premium
70,66422,VIP
60,83637,VIP
58,104231,VIP
18,83351,Basic
41,39753,VIP
18,106563,Premium
20,100139,Regular
65,30374,Premium
43,48426,Silver
54,20183,Gold
18,21426,Gold
57,108752,Silver
42,110268,VIP
45,110946,Silver
30,37329,Gold
36,56235,Silver
26,60486,Gold
57,78049,Basic
18,62231,Silver
53,65043,Silver
66,94872,VIP
39,99505,VIP
21,91417,Gold
62,27833,Regular
54,88973,Premium
50,105140,VIP
23,109783,Gold
26,68852,Regular
28,92155,Premium
39,106942,Gold
69,93750,Premium
24,34305,Basic
64,112031,Silver
56,48682,VIP
45,96706,VIP
67,34273,Premium
63,24992,VIP
66,97443,Regular
49,92939,Gold
28,63102,Premium
19,60881,Gold
47,37657,Gold
24,111809,Silver
45,98817,Silver
57,49856,Premium
22,56642,Gold
44,93372,Silver
55,119388,Basic
23,62866,Premium
48,34522,Premium
55,100893,Premium
32,96056,Regular
47,83274,Regular
68,39309,VIP
59,101092,Regular
37,96731,Basic
66,59647,Basic
25,117051,Premium
24,51113,VIP
67,82174,Basic
53,90776,Basic
25,21597,Basic
18,35385,Gold
60,41842,Premium
19,67302,Gold
26,40562,Basic
60,33444,Gold
37,28691,Basic
42,85182,VIP
46,94997,Gold
57,105826,Basic
46,70772,Gold
28,83728,VIP
32,77546,Silver
21,96093,VIP
24,86833,Silver
42,107250,Gold
18,65741,Gold
62,25863,Premium
31,105660,Premium
29,89934,Basic
47,83454,Regular
36,28534,Basic
53,90057,Silver
57,107194,Regular
30,87556,Silver
68,37813,VIP
41,60546,Basic
34,38649,Regular
26,58141,VIP
62,26651,Basic
33,101077,Premium
34,30706,Premium
58,110139,VIP
47,93408,Gold
21,100414,Regular
44,37057,Silver
58,44971,Gold
32,79012,Premium
62,115843,Silver
47,98565,VIP
44,88099,Premium
40,20892,VIP
65,60500,Gold
37,103158,Premium
18,54225,Gold
59,108526,Premium
34,55516,Gold
53,43067,VIP
55,89811,Silver
60,106020,VIP
33,55276,Silver
45,57621,VIP
36,81678,Basic
43,74977,Gold
59,118542,VIP
45,58634,VIP
66,24189,Regular
69,52641,Gold
19,45297,VIP
69,31090,Silver
66,58303,Premium
36,64577,Gold
34,89788,Premium
19,79914,Gold
65,97216,VIP
21,87242,Regular
55,52819,VIP
26,109404,Basic
70,36042,Silver
42,38280,Gold
42,38810,Regular
56,27005,Premium
66,73662,Premium
43,66866,Basic
21,42079,VIP
35,99157,Gold
28,110333,Silver
33,61733,Silver
48,20945,Gold
23,26209,Gold
64,55590,Gold
59,105035,Basic
26,39613,Gold
37,96756,Gold
19,39870,Silver
20,25176,Regular
69,78935,Premium
66,31528,VIP
44,28840,Premium
31,111430,VIP
46,51951,Silver
42,76339,Regular
33,77764,Silver
28,65655,Premium
34,48139,Gold
56,65480,Regular
48,108019,Silver
66,55726,Regular
63,37132,Regular
51,108978,Basic
61,84355,Regular
39,111492,Gold
52,101881,Basic
44,91926,Basic
21,67466,Basic
70,103216,Gold
21,20766,Basic
66,45927,Silver
36,68423,VIP
32,70470,Silver
22,33570,Gold
38,115727,Regular
43,102061,Silver
56,67447,Basic
42,57361,VIP
58,86007,Gold
36,100777,VIP
41,93243,Basic
53,23635,Premium
51,48203,Silver
18,101372,Gold
66,98641,VIP
47,102722,Gold
49,36597,VIP
53,63682,Regular
20,78712,Premium
33,28110,VIP
51,97356,Basic
61,62026,Basic
31,68341,Regular
40,107582,Premium
26,76870,VIP
38,94360,Regular
55,101615,Regular
51,87028,Basic
56,53898,Basic
30,107591,VIP
54,59649,Regular
18,113749,Premium
68,87457,Gold
36,83554,Basic
60,107668,Silver
20,115268,Regular
58,31379,Silver
65,82030,Regular
28,77137,Silver
40,110251,Premium
28,22160,VIP
60,111556,Silver
42,61070,Regular
29,111975,Regular
69,68280,Premium
69,89953,Regular
51,103434,Silver
48,22755,Gold
48,87493,VIP
64,92474,VIP
36,113068,Gold
27,42817,Premium
27,72291,Silver
53,113812,Basic
31,23984,Gold
56,94181,VIP
68,70157,Premium
20,81553,Regular
56,97800,Silver
42,43065,Premium
49,73815,VIP
33,61527,Silver
22,67267,Regular
46,44772,Regular
55,105258,Gold
65,30923,Premium
38,99104,Regular
20,68599,VIP
50,111230,Gold
32,38510,Basic
55,23414,Regular
46,71744,Gold
32,66233,Regular
35,76413,Gold
64,20406,Premium
19,85834,Silver
28,30876,VIP
35,80386,VIP
55,83622,VIP
48,37585,Regular
36,71223,Premium
41,70127,Basic
70,111619,Silver
24,57359,Premium
20,118730,Basic
37,29811,Regular
46,80422,Silver
51,24147,Gold
29,24018,Gold
54,79570,Silver
19,40734,Premium
28,32030,Gold
20,59764,Regular
28,53967,Gold
51,108825,Gold
21,77369,Gold
52,95904,Regular
62,111577,Basic
25,57800,Basic
32,86603,Gold
56,58708,Gold
64,98515,Silver
53,102847,Basic
44,108566,Premium
44,98824,Premium
32,109051,Basic
31,98242,Regular
57,63910,Regular
42,69534,Silver
49,111489,Silver
67,108203,VIP
32,58540,Basic
24,87067,Premium
41,77144,Gold
45,27777,VIP
23,67426,Basic
20,44167,Basic
65,41924,VIP
48,62604,Gold
37,78786,Gold
34,72420,Gold
24,102509,Silver
39,80806,Regular
43,24457,Silver
61,113148,Regular
54,103554,Silver
35,88490,Gold
35,39390,Silver
34,33651,Regular
61,119039,Regular
45,100123,Premium
49,37739,Premium
28,75350,Basic
45,74419,Gold
45,82996,Basic
57,93683,Regular
68,71180,Basic
54,105799,Gold
59,118331,Silver
46,59975,Basic
41,81621,Silver
26,50953,Regular
21,36678,Gold
59,56069,Premium
23,105030,Regular
27,113727,Basic
47,83675,VIP
35,55921,Silver
34,50685,Silver
42,68498,Basic
39,92433,Basic
66,103954,Gold
69,78173,Premium
23,112144,VIP
60,44554,Gold
53,84951,VIP
28,50537,Basic
42,44406,VIP
28,47293,Silver
36,76418,Premium
62,77084,Silver
57,100133,Regular
34,57693,Gold
51,63651,Gold
33,114053,Premium
65,93140,Silver
63,77267,Basic
43,95375,Silver
54,111843,Regular
26,59869,Premium
56,37707,Premium
70,88312,Gold
58,78374,Basic
60,79586,VIP
32,83033,Regular
69,74870,VIP
55,73001,Premium
30,42471,Premium
39,96757,Basic
54,66965,VIP
57,100923,Basic
45,111505,Gold
30,87356,Silver
40,85345,Gold
20,43563,Premium
29,105630,Basic
51,72386,Silver
40,56879,Premium
35,83478,Silver
64,105766,Gold
25,117789,Gold
58,94863,VIP
70,31907,VIP
23,63715,Silver
25,56041,Regular
62,93025,VIP
23,32970,VIP
28,102726,Premium
28,88566,Basic
34,83920,Silver
22,40708,Basic
65,47125,Premium
53,99965,Regular
40,82784,Premium
60,111835,Silver
41,41832,Premium
47,96551,Regular
70,75939,Basic
70,91301,Regular
40,28319,Basic
32,66389,Premium
46,112140,Silver
27,47656,Basic
36,90118,Basic
24,69879,Premium
69,108536,VIP
54,35755,Premium
45,30129,Regular
26,69378,Gold
69,72152,Regular
31,82430,Silver
65,90161,Basic
60,26644,Silver
52,52377,Gold
48,112215,VIP
55,47097,Silver
42,21231,Basic
62,39065,VIP
26,54060,Silver
67,115030,Regular
60,62771,Premium
38,70688,Basic
30,38615,VIP
53,39243,Gold
69,91709,Basic
36,101002,Premium
32,54785,VIP
55,64180,Premium
61,84230,Premium
42,60288,Regular
39,34472,Basic
35,114901,Regular
63,118269,Basic
45,56165,Basic
18,32804,Regular
55,61319,Regular
46,101040,Gold
31,42927,Premium
24,57986,Premium
58,107461,Regular
28,60219,VIP
24,32149,VIP
34,114572,Premium
70,102019,Gold
26,54018,VIP
61,102662,Regular
70,57004,VIP
27,27142,Basic
64,85525,Silver
34,40962,Premium
33,51165,Gold
27,52702,Gold
30,110561,Basic
27,114435,Silver
37,83823,Regular
40,118359,VIP
24,115337,VIP
61,109752,Silver
53,104887,Silver
29,54666,Silver
60,64534,Gold
63,93614,Silver
50,119493,Premium
38,63178,Silver
32,97244,VIP
44,43973,Gold
52,28704,Regular
68,29351,Silver
21,107607,Premium
24,20428,Gold
21,89506,Gold
63,55779,Regular
42,73658,Silver
31,70576,Silver
21,116396,VIP
60,35861,Regular
48,50151,Gold
61,100159,Gold
35,64147,Basic
46,61124,Basic
47,37086,Gold
59,30089,Silver
41,47323,VIP
70,92993,Silver
44,27873,VIP
44,37574,Silver
46,49516,Basic
26,42656,Premium
33,105565,Gold
30,51013,Gold
35,54585,Premium
68,48546,VIP
25,92407,Regular
25,110984,Regular
62,23582,VIP
46,27157,Silver
43,86776,Basic
62,81907,Regular
37,93282,VIP
25,72744,VIP
58,109010,Regular
58,67647,Premium
62,106919,VIP
63,73041,Regular
47,105986,Regular
69,68079,VIP
66,73593,VIP
63,52668,Premium
47,101926,VIP
31,33085,Silver
51,48559,VIP
19,20798,Regular
49,115472,Gold
